Year,City,Country,source_table,Closing ceremony,Firstyear,Lastyear,Opening ceremony,Ref.,Region,Summer,Summer Olympics,Total,Winter,Winter Olympics,extra_9
,,Asia,List of countries ranked by the number of times they hosted or will host the Olympic Games,,2020,"2 ( 1940 , 1964 , 2020 )",,,1964,,"2 ( 1940 , 1972 , 1998 )",Japan,,,
,,Australia,List of countries ranked by the number of times they hosted or will host the Olympic Games,,1956,2032,,,Oceania,,"3 ( 1956 , 2000 , 2032 )",3,,,
,,North America,List of countries ranked by the number of times they hosted or will host the Olympic Games,,2010,1 ( 1976 ),,,1976,,"2 ( 1988 , 2010 )",Canada,,,
,,Europe,List of countries ranked by the number of times they hosted or will host the Olympic Games,,1972,"2 ( 1916 , 1936 , 1972 )",,,1936,,"1 ( 1936 , 1940 )",Germany,,,
,,1908,List of countries ranked by the number of times they hosted or will host the Olympic Games,,"3 ( 1908 , 1944 , 1948 , 2012 )",,,,2012,,,United Kingdom,,,
,,Austria,List of countries ranked by the number of times they hosted or will host the Olympic Games,,1976,,,,1964,,"2 ( 1964 , 1976 )",2,,,
,,Asia,List of countries ranked by the number of times they hosted or will host the Olympic Games,,2022,1 ( 2008 ),,,2008,,1 ( 2022 ),China,,,
,,Europe,List of countries ranked by the number of times they hosted or will host the Olympic Games,,2004,"2 ( 1896 , 2004 )",,,1896,,,Greece,,,
,,1952,List of countries ranked by the number of times they hosted or will host the Olympic Games,,,"2 ( 1952 , 1994 )",,,1994,,,Norway,,,
,,1980,List of countries ranked by the number of times they hosted or will host the Olympic Games,,1 ( 1980 ),1 ( 2014 ),,,2014,,,Russia [ i ],,,
,,Asia,List of countries ranked by the number of times they hosted or will host the Olympic Games,,2018,1 ( 1988 ),,,1988,,1 ( 2018 ),South Korea,,,
,,Europe,List of countries ranked by the number of times they hosted or will host the Olympic Games,,1948,,,,1928,,"2 ( 1928 , 1940 , 1948 )",Switzerland,,,
,,Belgium,List of countries ranked by the number of times they hosted or will host the Olympic Games,,1920,1 ( 1920 ),,,1920,,,1,,,
,,1984,List of countries ranked by the number of times they hosted or will host the Olympic Games,,,1 ( 1984 ),,,1984,,,Bosnia and Herzegovina [ j ],,,
,,South America,List of countries ranked by the number of times they hosted or will host the Olympic Games,,2016,1 ( 2016 ),,,2016,,,Brazil,,,
,,Europe,List of countries ranked by the number of times they hosted or will host the Olympic Games,,1952,"1 ( 1940 , 1952 )",,,1952,,,Finland,,,
,,North America,List of countries ranked by the number of times they hosted or will host the Olympic Games,,1968,1 ( 1968 ),,,1968,,,Mexico,,,
,,Europe,List of countries ranked by the number of times they hosted or will host the Olympic Games,,1928,1 ( 1928 ),,,1928,,,Netherlands,,,
,,1992,List of countries ranked by the number of times they hosted or will host the Olympic Games,,1 ( 1992 ),,,,1992,,,Spain,,,
,,1912,List of countries ranked by the number of times they hosted or will host the Olympic Games,,1 ( 1912 ),,,,1912,,,Sweden,,,
,,,wikitable,,1896,2030,,,Europe,,"17 ( 1896 , 1900 , 1908 , 1912 , 1916 , 1920 , 1924 , 1928 , 1936 , 1940 , 1944 , 1948 , 1952 , 1960 , 1972 , 1980 , [ i ] 1992 , 2004 , 2012 , 2024 )",33,,"16 ( 1924 , 1928 , 1936 , 1940 , 1944 , 1948 , 1952 , 1956 , 1964 , 1968 , 1976 , 1984 , 1992 , 1994 , 2006 , 2014 , [ i ] 2026 , 2030 )",
,,,wikitable,,1904,2034,,,North America,,"7 ( 1904 , 1932 , 1968 , 1976 , 1984 , 1996 , 2028 )",14,,"7 ( 1932 , 1960 , 1980 , 1988 , 2002 , 2010 , 2034 )",
,,,wikitable,,1964,2022,,,Asia,,"4 ( 1940 , 1964 , 1988 , 2008 , 2020 )",8,,"4 ( 1940 , 1972 , 1998 , 2018 , 2022 )",
,,,wikitable,,1956,2032,,,Oceania,,"3 ( 1956 , 2000 , 2032 )",3,,,
,,,wikitable,,2016,2016,,,South America,,1 ( 2016 ) [ p ],1,,,
,,,wikitable,,–,–,,,Africa,,,0,,,
